"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   ,    "Sens_Geo"    ,    "Sens_AoA"    ,    "Sens_Mach"   ,   "Sens_Press"   ,    "Sens_Temp"   
          0,           0,           0,      -4.157105034,      -5.987114049,      -5.084654685,                 0,      -7.963842648,      -4.431778898,                 0,   3.416632212e-14,     -0.2547287181,   3.540664685e-14,                 0
          0,           0,           1,      -3.905862567,      -5.975739755,      -5.113967349,                 0,      -8.080628284,      -4.139303949,                 0,   2.598505758e-14,     -0.2547287179,   4.150249284e-14,                 0
          0,           0,           2,      -3.778079041,      -5.989768347,      -5.221144822,                 0,      -8.161857834,      -4.012960728,                 0,   3.875267015e-14,     -0.2547287177,   4.662298702e-14,                 0
          0,           0,           3,      -3.692213092,      -5.950027159,      -5.322377355,                 0,       -8.24623631,      -3.962305155,                 0,   6.862823437e-14,     -0.2547287175,   5.095552809e-14,                 0
          0,           0,           4,      -3.617712472,      -5.881151799,      -5.392183232,                 0,      -8.316385531,      -3.973297029,                 0,   1.472317671e-13,     -0.2547287174,   5.411157719e-14,                 0
          0,           0,           5,      -3.545691643,      -5.813018191,      -5.437358677,                 0,      -8.363317211,      -4.032110259,                 0,   4.945177372e-13,     -0.2547287175,   5.348869489e-14,                 0
          0,           0,           6,      -3.478167848,      -5.754701681,      -5.465884661,                 0,      -8.394633775,       -4.10632634,                 0,   2.154645701e-12,     -0.2547287182,   3.852255443e-14,                 0
          0,           0,           7,      -3.417793499,      -5.706479937,      -5.483424613,                 0,      -8.415937033,      -4.157271642,                 0,   9.332717684e-12,     -0.2547287212,  -2.563850895e-14,                 0
          0,           0,           8,      -3.364347437,       -5.66557521,      -5.493119639,                 0,      -8.429513602,      -4.174362102,                 0,   3.700942141e-11,     -0.2547287308,  -2.370805348e-13,                 0
          0,           0,           9,      -3.315990661,       -5.62871122,      -5.496887777,                 0,       -8.43691746,      -4.172117497,                 0,   1.332621336e-10,     -0.2547287578,   -8.33829261e-13,                 0
          0,           0,          10,       -3.27118455,      -5.593702683,      -5.496941637,                 0,      -8.439791227,      -4.160821925,                 0,   4.388467109e-10,     -0.2547288242,  -2.309275768e-12,                 0
          0,           0,          11,       -3.22954231,      -5.560059432,      -5.495764176,                 0,      -8.439888713,      -4.142865843,                 0,   1.333396694e-09,     -0.2547289671,  -5.500780415e-12,                 0
          0,           0,          12,      -3.191564142,      -5.528538233,      -5.495293525,                 0,       -8.43870879,      -4.119197596,                 0,   3.767629648e-09,     -0.2547292294,  -1.140148421e-11,                 0
          0,           0,          13,      -3.157942156,      -5.500222467,      -5.496371286,                 0,       -8.43719248,      -4.091588763,                 0,   9.966483454e-09,     -0.2547296101,   -2.00435128e-11,                 0
          0,           0,          14,      -3.129045996,      -5.475821912,      -5.498792961,                 0,      -8.435711527,      -4.062076854,                 0,   2.482186808e-08,     -0.2547299116,  -2.706343271e-11,                 0
          0,           0,          15,      -3.104759871,       -5.45542631,      -5.501774482,                 0,      -8.434256235,      -4.032271138,                 0,   5.848408151e-08,     -0.2547293758,   -1.53979053e-11,                 0
          0,           0,          16,      -3.084562299,      -5.438583525,      -5.504515849,                 0,       -8.43264598,      -4.003194932,                 0,   1.309044424e-07,     -0.2547259363,   6.201011011e-11,                 0
          0,           0,          17,      -3.067703402,      -5.424515624,      -5.506602549,                 0,      -8.430653054,      -3.975412642,                 0,   2.793540705e-07,      -0.254714843,   3.143474375e-10,                 0
          0,           0,          18,      -3.053388131,      -5.412355202,      -5.508114086,                 0,      -8.428037567,      -3.949197771,                 0,   5.701921928e-07,     -0.2546863774,   9.671096299e-10,                 0
          0,           0,          19,      -3.040919549,      -5.401341311,      -5.509462564,                 0,       -8.42456218,      -3.924665909,                 0,   1.116298161e-06,     -0.2546223858,   2.445602731e-09,                 0
          0,           0,          20,      -3.029780949,      -5.390940829,      -5.511092661,                 0,      -8.420047794,        -3.9018679,                 0,   2.101507395e-06,      -0.254491485,   5.492763981e-09,                 0
          0,           0,          21,      -3.019652322,      -5.380880487,      -5.513190299,                 0,         -8.414465,      -3.880846607,                 0,   3.812992527e-06,     -0.2542430605,    1.13206444e-08,                 0
          0,           0,          22,      -3.010372207,      -5.371099425,      -5.515503568,                 0,       -8.40799711,      -3.861659475,                 0,   6.681726414e-06,     -0.2538005975,   2.178541536e-08,                 0
          0,           0,          23,      -3.001867248,      -5.361654321,      -5.517333376,                 0,      -8.401013674,      -3.844373119,                 0,   1.132994164e-05,     -0.2530554229,   3.956305325e-08,                 0
          0,           0,          24,      -2.994074381,      -5.352616498,      -5.517715071,                 0,      -8.393953198,      -3.829041432,                 0,   1.862295402e-05,      -0.251862489,   6.828895457e-08,                 0
          0,           0,          25,      -2.986875609,      -5.343991543,      -5.515754498,                 0,      -8.387174257,      -3.815680028,                 0,   2.972106002e-05,     -0.2500402325,   1.126131263e-07,                 0
          0,           0,          26,      -2.980057825,      -5.335676548,      -5.510992127,                 0,       -8.38084814,      -3.804246809,                 0,   4.612577294e-05,     -0.2473766179,   1.781177201e-07,                 0
          0,           0,          27,      -2.973304528,      -5.327457567,       -5.50361369,                 0,      -8.374935579,      -3.794633426,                 0,   6.971381453e-05,      -0.243643034,   2.710498733e-07,                 0
          0,           0,          28,      -2.966222487,      -5.319042741,      -5.494395529,                 0,      -8.369245931,      -3.786667952,                 0,   0.0001027523854,     -0.2386166895,   3.978428999e-07,                 0
          0,           0,          29,      -2.958401211,      -5.310121954,      -5.484438062,                 0,      -8.363543659,       -3.78012648,                 0,   0.0001478905368,     -0.2321105743,   5.644327279e-07,                 0
          0,           0,          30,      -2.949493804,      -5.300438551,      -5.474850569,                 0,      -8.357653384,      -3.774750358,                 0,   0.0002081239806,     -0.2240081678,   7.754201407e-07,                 0
          0,           0,          31,      -2.939296487,      -5.289853455,      -5.466523184,                 0,      -8.351522705,      -3.770265889,                 0,     0.00028673415,     -0.2142982349,   1.033175076e-06,                 0
          0,           0,          32,      -2.927798647,      -5.278381434,      -5.460025889,                 0,      -8.345226852,      -3.766403811,                 0,    0.000387206258,     -0.2031037353,   1.337016568e-06,                 0
          0,           0,          33,      -2.915183197,      -5.266187387,      -5.455605131,                 0,       -8.33892739,      -3.762916458,                 0,    0.000513134774,       -0.19069852,   1.682620162e-06,                 0
          0,           0,          34,      -2.901777105,      -5.253545152,      -5.453232108,                 0,      -8.332813147,      -3.759591107,                 0,   0.0006681274058,     -0.1775063887,    2.06179549e-06,                 0
          0,           0,          35,      -2.887972307,       -5.24077498,      -5.452669331,                 0,      -8.327049619,       -3.75625857,                 0,   0.0008557196802,     -0.1640792792,   2.462737106e-06,                 0
          0,           0,          36,      -2.874145625,      -5.228180894,      -5.453538991,                 0,      -8.321749977,      -3.752796801,                 0,    0.001079311199,     -0.1510545793,   2.870785169e-06,                 0
          0,           0,          37,      -2.860600169,      -5.216004662,      -5.455387346,                 0,       -8.31696741,      -3.749129896,                 0,    0.001342131608,     -0.1390952482,   3.269649633e-06,                 0
          0,           0,          38,      -2.847537306,       -5.20440366,      -5.457743108,                 0,      -8.312701068,      -3.745223406,                 0,    0.001647239703,     -0.1288198648,   3.642967583e-06,                 0
          0,           0,          39,      -2.835056145,      -5.193450969,      -5.460167477,                 0,      -8.308906874,      -3.741077168,                 0,    0.001997553619,     -0.1207321577,   3.975995527e-06,                 0
